"subject" "activity" "feature" "average"
1 "LAYING" "frequencybodyaccjerkmagmean" -0.288695124513
1 "LAYING" "frequencybodyaccjerkmagstd" -0.30709236294
1 "LAYING" "frequencybodyaccjerkmeanx" -0.3593638264
1 "LAYING" "frequencybodyaccjerkmeany" -0.4519896308
1 "LAYING" "frequencybodyaccjerkmeanz" -0.38281285196
1 "LAYING" "frequencybodyaccjerkstdx" -0.344925193736
1 "LAYING" "frequencybodyaccjerkstdy" -0.4370068432
1 "LAYING" "frequencybodyaccjerkstdz" -0.45733695572
1 "LAYING" "frequencybodyaccmagmean" -0.19477267824
1 "LAYING" "frequencybodyaccmagstd" -0.34126826928
1 "LAYING" "frequencybodyaccmeanx" -0.221075709582
1 "LAYING" "frequencybodyaccmeany" -0.3066102285
1 "LAYING" "frequencybodyaccmeanz" -0.21661934595
1 "LAYING" "frequencybodyaccstdx" -0.1185809256276
1 "LAYING" "frequencybodyaccstdy" -0.32639907663
1 "LAYING" "frequencybodyaccstdz" -0.189591963326
1 "LAYING" "frequencybodygyrojerkmagmean" -0.6816289394
1 "LAYING" "frequencybodygyrojerkmagstd" -0.6995833508
1 "LAYING" "frequencybodygyromagmean" -0.6021732184
1 "LAYING" "frequencybodygyromagstd" -0.59075989956
1 "LAYING" "frequencybodygyromeanx" -0.5419029882
1 "LAYING" "frequencybodygyromeany" -0.5724110134
1 "LAYING" "frequencybodygyromeanz" -0.4696329686
1 "LAYING" "frequencybodygyrostdx" -0.58913797
1 "LAYING" "frequencybodygyrostdy" -0.609452897
1 "LAYING" "frequencybodygyrostdz" -0.5433682018
1 "LAYING" "timebodyaccjerkmagmean" -0.34512704626
1 "LAYING" "timebodyaccjerkmagstd" -0.294271326878
1 "LAYING" "timebodyaccjerkmeanx" 0.0950945657
1 "LAYING" "timebodyaccjerkmeany" -0.005590970362
1 "LAYING" "timebodyaccjerkmeanz" -0.024233829626
1 "LAYING" "timebodyaccjerkstdx" -0.32254515836
1 "LAYING" "timebodyaccjerkstdy" -0.4260512908
1 "LAYING" "timebodyaccjerkstdz" -0.420728300262
1 "LAYING" "timebodyaccmagmean" -0.1009702266278
1 "LAYING" "timebodyaccmagstd" -0.20831714914
1 "LAYING" "timebodyaccmeanx" 0.27691963896
1 "LAYING" "timebodyaccmeany" -0.01876841351
1 "LAYING" "timebodyaccmeanz" -0.1189825022
1 "LAYING" "timebodyaccstdx" -0.145152353546
1 "LAYING" "timebodyaccstdy" -0.28966178878
1 "LAYING" "timebodyaccstdz" -0.15484828045
1 "LAYING" "timebodygyrojerkmagmean" -0.6673852084
1 "LAYING" "timebodygyrojerkmagstd" -0.6795186248
1 "LAYING" "timebodygyrojerkmeanx" -0.1015325308502
1 "LAYING" "timebodygyrojerkmeany" -0.05001958741
1 "LAYING" "timebodygyrojerkmeanz" -0.0489388912194
1 "LAYING" "timebodygyrojerkstdx" -0.6905444328
1 "LAYING" "timebodygyrojerkstdy" -0.6704750576
1 "LAYING" "timebodygyrojerkstdz" -0.6077791402
1 "LAYING" "timebodygyromagmean" -0.4277905326
1 "LAYING" "timebodygyromagstd" -0.5474519442
1 "LAYING" "timebodygyromeanx" -0.033660171628
1 "LAYING" "timebodygyromeany" -0.08148290228
1 "LAYING" "timebodygyromeanz" 0.088158423998
1 "LAYING" "timebodygyrostdx" -0.5746158922
1 "LAYING" "timebodygyrostdy" -0.5918795836
1 "LAYING" "timebodygyrostdz" -0.4876829542
1 "LAYING" "timegravityaccmagmean" -0.1009702266278
1 "LAYING" "timegravityaccmagstd" -0.20831714914
1 "LAYING" "timegravityaccmeanx" 0.7945208862
1 "LAYING" "timegravityaccmeany" -0.12276463148
1 "LAYING" "timegravityaccmeanz" -0.1118619466
1 "LAYING" "timegravityaccstdx" -0.9650221892
1 "LAYING" "timegravityaccstdy" -0.9637414904
1 "LAYING" "timegravityaccstdz" -0.9182749656
1 "SITTING" "frequencybodyaccjerkmagmean" -0.509842386595745
1 "SITTING" "frequencybodyaccjerkmagstd" -0.562993106382979
1 "SITTING" "frequencybodyaccjerkmeanx" -0.565144333404255
1 "SITTING" "frequencybodyaccjerkmeany" -0.554719745957447
1 "SITTING" "frequencybodyaccjerkmeanz" -0.548490802340426
1 "SITTING" "frequencybodyaccjerkstdx" -0.531940783191489
1 "SITTING" "frequencybodyaccjerkstdy" -0.533621506808511
1 "SITTING" "frequencybodyaccjerkstdz" -0.577329867021277
1 "SITTING" "frequencybodyaccmagmean" -0.532270973191489
1 "SITTING" "frequencybodyaccmagstd" -0.67040517
1 "SITTING" "frequencybodyaccmeanx" -0.526571612978723
1 "SITTING" "frequencybodyaccmeany" -0.444477566808511
1 "SITTING" "frequencybodyaccmeanz" -0.415437056382979
1 "SITTING" "frequencybodyaccstdx" -0.540754418085106
1 "SITTING" "frequencybodyaccstdy" -0.472051140425532
1 "SITTING" "frequencybodyaccstdz" -0.368289942148936
1 "SITTING" "frequencybodygyrojerkmagmean" -0.779518703191489
1 "SITTING" "frequencybodygyrojerkmagstd" -0.801447210851064
1 "SITTING" "frequencybodygyromagmean" -0.734042961914894
1 "SITTING" "frequencybodygyromagstd" -0.772180520638298
1 "SITTING" "frequencybodygyromeanx" -0.686537239361702
1 "SITTING" "frequencybodygyromeany" -0.709717926170213
1 "SITTING" "frequencybodygyromeanz" -0.553384034042553
1 "SITTING" "frequencybodygyrostdx" -0.743382696595745
1 "SITTING" "frequencybodygyrostdy" -0.711286586170213
1 "SITTING" "frequencybodygyrostdz" -0.533050299148936
1 "SITTING" "timebodyaccjerkmagmean" -0.497846063829787
1 "SITTING" "timebodyaccjerkmagstd" -0.531103250212766
1 "SITTING" "timebodyaccjerkmeanx" 0.0852828681489362
1 "SITTING" "timebodyaccjerkmeany" 0.0141210365129787
1 "SITTING" "timebodyaccjerkmeanz" 0.0112016705959574
1 "SITTING" "timebodyaccjerkstdx" -0.52829862787234
1 "SITTING" "timebodyaccjerkstdy" -0.529244907446809
1 "SITTING" "timebodyaccjerkstdz" -0.563679145744681
1 "SITTING" "timebodyaccmagmean" -0.419391491276596
1 "SITTING" "timebodyaccmagstd" -0.576895023829787
1 "SITTING" "timebodyaccmeanx" 0.279345167659574
1 "SITTING" "timebodyaccmeany" -0.0189742172534043
1 "SITTING" "timebodyaccmeanz" -0.106542568234043
1 "SITTING" "timebodyaccstdx" -0.53651805212766
1 "SITTING" "timebodyaccstdy" -0.439212547021277
1 "SITTING" "timebodyaccstdz" -0.351852181553191
1 "SITTING" "timebodygyrojerkmagmean" -0.74665363106383
1 "SITTING" "timebodygyrojerkmagstd" -0.78219376106383
1 "SITTING" "timebodygyrojerkmeanx" -0.100516632776596
1 "SITTING" "timebodygyrojerkmeany" -0.036217543312766
1 "SITTING" "timebodygyrojerkmeanz" -0.0555236783106383
1 "SITTING" "timebodygyrojerkstdx" -0.743213854893617
1 "SITTING" "timebodygyrojerkstdy" -0.780621647659574
1 "SITTING" "timebodygyrojerkstdz" -0.661556547446808
1 "SITTING" "timebodygyromagmean" -0.593730929574468
1 "SITTING" "timebodygyromagstd" -0.728104617446809
1 "SITTING" "timebodygyromeanx" -0.00767479386680851
1 "SITTING" "timebodygyromeany" -0.0895298839
1 "SITTING" "timebodygyromeanz" 0.0828716535531915
1 "SITTING" "timebodygyrostdx" -0.729071507659575
1 "SITTING" "timebodygyrostdy" -0.708952908723404
1 "SITTING" "timebodygyrostdz" -0.502787368723404
1 "SITTING" "timegravityaccmagmean" -0.419391491276596
1 "SITTING" "timegravityaccmagstd" -0.576895023829787
1 "SITTING" "timegravityaccmeanx" 0.636105154680851
1 "SITTING" "timegravityaccmeany" -0.196322848851064
1 "SITTING" "timegravityaccmeanz" 0.0361477472340426
